Instance, Algorithm, RandSeed, Duration, Optima
9.txt, HEA, 18, 0.134, 0
9.txt, HEA, 19, 0.159, 0
9.txt, HEA, 20, 0.155, 0
9.txt, HEA, 21, 0.15, 0
9.txt, HEA, 22, 0.151, 0
9.txt, HEA, 23, 0.17, 0
9.txt, HEA, 24, 0.132, 0
9.txt, HEA, 25, 0.185, 0
9.txt, HEA, 26, 0.135, 0
9.txt, HEA, 27, 0.125, 0
9.txt, HEA, 28, 0.103, 0
9.txt, HEA, 29, 0.159, 0
9.txt, HEA, 30, 0.136, 0
